,Team,Champion,win_loss_pct,off_rtg,def_rtg,efg_pct
0,Golden State Warriors 2015-16,False,0.89,114.5,103.8,0.563
1,Chicago Bulls 1995-96,True,0.878,115.2,101.8,0.517
2,Chicago Bulls 1996-97,True,0.841,114.4,102.4,0.511
3,Boston Celtics 1985-86,True,0.817,111.8,102.6,0.518
4,Chicago Bulls 1991-92,True,0.817,115.5,104.5,0.518
5,Los Angeles Lakers 1999-00,False,0.817,107.3,98.2,0.484
6,Dallas Mavericks 2006-07,False,0.817,111.3,103.2,0.509
7,Golden State Warriors 2014-15,True,0.817,111.6,101.4,0.54
8,San Antonio Spurs 2015-16,False,0.817,110.3,99.0,0.526
9,Golden State Warriors 2016-17,True,0.817,115.6,104.0,0.563
10,Boston Celtics 2007-08,False,0.805,110.2,98.9,0.522
11,Cleveland Cavaliers 2008-09,False,0.805,112.4,102.4,0.519
12,Miami Heat 2012-13,True,0.805,112.3,103.7,0.552
13,Philadelphia 76ers 1982-83,True,0.793,108.3,100.9,0.501
14,Los Angeles Lakers 1986-87,True,0.793,115.6,106.5,0.528
15,Los Angeles Lakers 2008-09,False,0.793,112.8,104.7,0.513
16,Houston Rockets 2017-18,False,0.793,114.7,106.1,0.551
17,Seattle SuperSonics 1995-96,False,0.78,110.3,102.1,0.526
18,Utah Jazz 1996-97,False,0.78,113.6,104.0,0.53
19,Detroit Pistons 2005-06,False,0.78,110.8,103.1,0.497
20,Boston Celtics 1981-82,False,0.768,109.8,103.5,0.502
21,Boston Celtics 1984-85,False,0.768,112.8,106.3,0.515
22,Detroit Pistons 1988-89,True,0.768,110.8,104.7,0.502
23,Los Angeles Lakers 1989-90,False,0.768,114.0,107.0,0.512
24,Portland Trail Blazers 1990-91,False,0.768,112.8,104.3,0.509
25,Seattle SuperSonics 1993-94,False,0.768,111.1,101.5,0.501
26,San Antonio Spurs 2005-06,False,0.768,107.3,99.6,0.513
27,Boston Celtics 1980-81,True,0.756,108.4,102.6,0.509
28,Philadelphia 76ers 1980-81,False,0.756,107.0,99.5,0.515
29,Boston Celtics 1983-84,True,0.756,110.9,104.4,0.504
30,Los Angeles Lakers 1984-85,True,0.756,114.1,107.0,0.551
31,Los Angeles Lakers 1985-86,False,0.756,113.3,105.8,0.532
32,Los Angeles Lakers 1987-88,True,0.756,113.1,107.3,0.515
33,Phoenix Suns 1992-93,False,0.756,113.3,106.7,0.521
34,San Antonio Spurs 1994-95,False,0.756,111.7,105.4,0.516
